,0,1,2,3,4,5,6,7,8,9
12,1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0.0,0.24,1
3,1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,1
120,1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0.0,0.0,2
105,1.52475,11.45,0.0,1.88,72.19,0.81,13.24,0.0,0.34,2
61,1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0.0,1
209,1.51623,14.14,0.0,2.88,72.61,0.08,9.18,1.06,0.0,7
181,1.51888,14.99,0.78,1.74,72.5,0.0,9.95,0.0,0.0,6
162,1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0.0,0.37,3
50,1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0.0,0.16,1
56,1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0.0,0.31,1
31,1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0.0,0.0,1
154,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0,3
2,1.5161799999999999,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,1
140,1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0.0,0.0,2
119,1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0.0,0.0,2
136,1.51806,13.0,3.8,1.08,73.07,0.56,8.38,0.0,0.12,2
208,1.5164,14.37,0.0,2.74,72.85,0.0,9.45,0.54,0.0,7
40,1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0.0,0.0,1
161,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,3
142,1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,2
175,1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0.0,0.28,5
80,1.5159200000000002,12.86,3.52,2.12,72.66,0.69,7.97,0.0,0.0,2
155,1.5164600000000001,13.04,3.4,1.26,73.01,0.52,8.58,0.0,0.0,3
35,1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0.0,0.0,1
187,1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0.0,0.0,7
180,1.51299,14.4,1.74,1.54,74.55,0.0,7.59,0.0,0.0,6
54,1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0.0,0.09,1
178,1.51829,14.46,2.24,1.62,72.38,0.0,9.26,0.0,0.0,6
100,1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2
67,1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0.0,0.17,1
183,1.51969,14.56,0.0,0.56,73.48,0.0,11.22,0.0,0.0,6
128,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,2
29,1.5178399999999999,13.08,3.49,1.28,72.86,0.6,8.49,0.0,0.0,1
201,1.51653,11.95,0.0,1.19,75.18,2.7,8.93,0.0,0.0,7
137,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.0,0.0,2
26,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,1
185,1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0.0,7
126,1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0.0,0.0,2
51,1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0.0,0.11,1
109,1.5181799999999999,13.72,0.0,0.56,74.45,0.0,10.99,0.0,0.0,2
106,1.53125,10.73,0.0,2.1,69.81,0.58,13.3,3.15,0.28,2
11,1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0,1
14,1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0.0,0.0,1
47,1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0.0,0.1,1
1,1.5176100000000001,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,1
82,1.5164600000000001,13.41,3.55,1.25,72.81,0.68,8.1,0.0,0.0,2
170,1.52369,13.44,0.0,1.58,72.22,0.32,12.24,0.0,0.0,5
171,1.51316,13.02,0.0,3.04,70.48,6.21,6.96,0.0,0.0,5
7,1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,1
189,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0.0,7
194,1.51683,14.56,0.0,1.98,73.29,0.0,8.52,1.57,0.07,7
204,1.51617,14.95,0.0,2.27,73.3,0.0,8.71,0.67,0.0,7
16,1.5178399999999999,12.68,3.67,1.16,73.11,0.61,8.7,0.0,0.0,1
45,1.519,13.49,3.48,1.35,71.95,0.55,9.0,0.0,0.0,1
174,1.5205799999999998,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,5
172,1.51321,13.0,0.0,3.02,70.7,6.21,6.93,0.0,0.0,5
69,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03,1
58,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0.0,0.0,1
34,1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0.0,0.0,1
211,1.52065,14.36,0.0,2.02,73.42,0.0,8.44,1.64,0.0,7
86,1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0.0,0.0,2
159,1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0.0,0.09,3
102,1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0.0,0.2,2
184,1.51115,17.38,0.0,0.34,75.41,0.0,6.65,0.0,0.0,6
96,1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0.0,0.15,2
131,1.52614,13.7,0.0,1.36,71.24,0.19,13.44,0.0,0.1,2
144,1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0.0,0.24,2
15,1.5176100000000001,12.81,3.54,1.23,73.24,0.58,8.39,0.0,0.0,1
143,1.51709,13.0,3.47,1.79,72.72,0.66,8.18,0.0,0.0,2
25,1.5176399999999999,12.98,3.54,1.21,73.0,0.65,8.53,0.0,0.0,1
207,1.51831,14.39,0.0,1.82,72.86,1.41,6.47,2.88,0.0,7
52,1.5180799999999999,13.43,2.87,1.19,72.84,0.55,9.03,0.0,0.0,1
32,1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,1
43,1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0.0,0.0,1
39,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,1
4,1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,1
107,1.53393,12.3,0.0,1.0,70.16,0.12,16.19,0.0,0.24,2
68,1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0.0,0.16,1
192,1.51623,14.2,0.0,2.79,73.46,0.04,9.04,0.4,0.09,7
6,1.5174299999999998,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,1
10,1.5157100000000001,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24,1
93,1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0.0,0.0,2
199,1.51609,15.01,0.0,2.51,73.05,0.05,8.83,0.53,0.0,7
152,1.51779,13.64,3.65,0.65,73.0,0.06,8.93,0.0,0.0,3
33,1.5175299999999998,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06,1
111,1.52739,11.02,0.0,0.75,73.08,0.0,14.96,0.0,0.0,2
110,1.52664,11.23,0.0,0.77,73.21,0.0,14.68,0.0,0.0,2
129,1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0.0,0.18,2
63,1.52227,14.17,3.81,0.78,71.35,0.0,9.69,0.0,0.0,1
158,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0.0,0.0,3
197,1.5172700000000001,14.7,0.0,2.34,73.28,0.0,8.95,0.66,0.0,7
21,1.51966,14.77,3.75,0.29,72.02,0.03,9.0,0.0,0.0,1
149,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0,3
151,1.5212700000000001,14.32,3.9,0.83,71.5,0.0,9.49,0.0,0.0,3
13,1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.0,0.17,1
202,1.51514,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0,7
104,1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0.0,0.0,2
206,1.51645,14.94,0.0,1.87,73.11,0.0,8.67,1.38,0.0,7
182,1.51916,14.15,0.0,2.09,72.74,0.0,10.88,0.0,0.0,6
167,1.51969,12.64,0.0,1.65,73.75,0.38,11.53,0.0,0.0,5
5,1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,1
134,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0.0,0.0,2
78,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0.0,0.14,2
108,1.5222200000000001,14.43,0.0,1.0,72.67,0.1,11.52,0.0,0.08,2
122,1.5168700000000002,13.23,3.54,1.48,72.84,0.56,8.1,0.0,0.0,2
168,1.5166600000000001,12.86,0.0,1.83,73.88,0.97,10.17,0.0,0.0,5
125,1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0.0,0.12,2
75,1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0.0,0.0,2
145,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0.0,0.35,2
188,1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0.0,0.0,7
83,1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0.0,0.09,2
156,1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0.0,0.0,3
27,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.0,0.0,1
165,1.5217100000000001,11.56,1.88,1.56,72.86,0.47,11.41,0.0,0.0,5
99,1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0.0,2
101,1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0.0,0.0,2
0,1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0,1
